RPS13	ENSG00000110700
SHMT1	ENSG00000176974
LOC283768	NA
P2RY4	ENSG00000186912
HOXC11	ENSG00000123388
PDE4D	ENSG00000113448
MARCKS	ENSG00000155130
KIAA1446	NA
SMOX	ENSG00000088826
KIAA1045	ENSG00000122733
TSPAN32	ENSG00000064201
TYRO3	ENSG00000092445
AMOT	ENSG00000126016
MSR1	ENSG00000038945
RBPSUHL	NA
IGHG1	ENSG00000271292
SGCD	LRG_205
AHCTF1	ENSG00000153207
EGR1	ENSG00000120738
ENTPD1	ENSG00000138185
SLC22A18	ENSG00000110628
WDR58	NA
CCBP2	NA
KCND3	LRG_445
RASSF1	ENSG00000068028
ATF1	ENSG00000123268
ASCC2	ENSG00000100325
PAX3	ENSG00000135903
ATP6V0E2L	NA
SPOCK2	ENSG00000107742
KCTD7	ENSG00000243335
CLDN14	ENSG00000159261
CST3	ENSG00000101439
ACCN3	NA
SP4	ENSG00000105866
RBBP5	ENSG00000117222
PYHIN1	ENSG00000163564
HBXAP	NA
CD1A	ENSG00000158477
ADAMTS6	ENSG00000049192
LRRK1	ENSG00000154237
LOC339457	NA
PEX11A	ENSG00000166821
MAPK11	ENSG00000185386
GAS7	ENSG00000007237
RB1	LRG_517
MRE11A	LRG_85
CHRNB3	ENSG00000147432
KRTHA7	NA
C14orf138	NA
TSGA14	NA
PIN1L	NA
PPP2R2B	ENSG00000156475
ACOT2	ENSG00000119673
KIAA1654	NA
NCLN	ENSG00000125912
CAMSAP1L1	NA
PRKCA	ENSG00000154229
PPM1D	ENSG00000170836
USP46	ENSG00000109189
CTAGE5	ENSG00000150527
ACYP1	ENSG00000119640
LAMC1	ENSG00000135862
TUBD1	ENSG00000108423
FLJ23172	NA
RBMY1A1	ENSG00000234414
ZFP36L1	ENSG00000185650
DAF	NA
LOC440669	NA
LPAL2	ENSG00000213071
RUVBL1	ENSG00000175792
PRAF2	ENSG00000243279
C4orf15	NA
ZFP276	NA
WDR76	ENSG00000092470
GMDS	ENSG00000112699
GPHN	ENSG00000171723
REL	ENSG00000162924
DNAPTP6	NA
FLJ21908	NA
SLC14A2	ENSG00000132874
CHD7	LRG_176
MPP1	ENSG00000269326
ATP2B1	ENSG00000070961
PCDHB1	ENSG00000171815
LOC442039	NA
CELSR2	ENSG00000143126
SERPINF2	ENSG00000167711
TFEB	ENSG00000112561
LRRC6	ENSG00000129295
LRRC14	ENSG00000160959
TTC22	ENSG00000006555
RHOB	ENSG00000143878
SEC14L4	ENSG00000133488
PLCB1	ENSG00000182621
NEIL1	ENSG00000140398
C20orf98	NA
COQ4	ENSG00000167113
ME3	ENSG00000151376
ID2	ENSG00000115738
EPB41L2	ENSG00000079819
DMC1	ENSG00000100206
ATP11A	ENSG00000068650
TMCC2	ENSG00000133069
ACACA	ENSG00000132142
RWDD2	NA
KRT8L2	NA
USP27X	ENSG00000242013
CTSH	ENSG00000103811
CASR	ENSG00000036828
ASTN2	ENSG00000148219
ZNF84	ENSG00000198040
FLJ13798	NA
CBLB	ENSG00000114423
RALA	ENSG00000006451
PGM3	ENSG00000013375
GABRB2	ENSG00000145864
FPGT	ENSG00000254685
NEK4	ENSG00000114904
VSIG6	NA
BCL7C	ENSG00000099385
STIP1	ENSG00000168439
XRCC4	ENSG00000152422
TLN2	ENSG00000171914
NBL1	ENSG00000158747
DNA2L	NA
PFKFB3	ENSG00000170525
NUDT15	ENSG00000136159
ZNF273	ENSG00000198039
C10orf12	ENSG00000155640
BACH2	ENSG00000112182
DAZ1	ENSG00000188120
TGFBR2	ENSG00000163513
MGC10334	NA
CTSE	ENSG00000264606
ACACB	ENSG00000076555
Mar-03	NA
PROP1	ENSG00000175325
CDC7	ENSG00000097046
KCNMB2	ENSG00000197584
SCAMP5	ENSG00000198794
CD83	ENSG00000112149
JUN	ENSG00000177606
POLR3F	ENSG00000132664
C5	LRG_28
IL15RA	ENSG00000134470
SLC1A5	ENSG00000105281
FAM105A	ENSG00000145569
LOC400451	NA
PLEKHA9	NA
NOVA2	ENSG00000104967
DNAJB5	ENSG00000137094
BTBD7	ENSG00000011114
PTCH	NA
FRMD4A	ENSG00000151474
CSAD	ENSG00000139631
CENTD1	NA
LOC283755	NA
PSD4	ENSG00000125637
ADAM12	ENSG00000148848
ORC5L	NA
MAP4K5	ENSG00000012983
DHX35	ENSG00000101452
NCR1	ENSG00000261880
NEUROD4	ENSG00000123307
RSC1A1	ENSG00000215695
MUC5AC	ENSG00000215182
S100A11	ENSG00000163191
LAD1	ENSG00000159166
SYNJ1	ENSG00000159082
DPP3	ENSG00000254986
MYH15	ENSG00000144821
SFTPB	ENSG00000168878
ETFDH	ENSG00000171503
NET1	ENSG00000173848
PPARA	ENSG00000186951
WAS	LRG_125
LECT1	ENSG00000136110
FLJ21924	NA
PRKCQ	ENSG00000065675
ADRA1D	ENSG00000171873
SNED1	ENSG00000162804
LTK	ENSG00000062524
MX2	ENSG00000183486
NRAS	LRG_92
GLT25D2	NA
DYNC1LI2	ENSG00000135720
SEC22L2	NA
FLCN	LRG_325
FZD1	ENSG00000157240
TNFAIP2	ENSG00000185215
ARHGEF3	ENSG00000163947
IL16	ENSG00000172349
ANKRD47	NA
DHRS3	ENSG00000162496
ZNF673	NA
FASN	ENSG00000169710
EFNB3	ENSG00000108947
MGAT3	ENSG00000128268
FKSG2	NA
PLA2G5	ENSG00000127472
GNB3	ENSG00000268195
GSN	ENSG00000148180
DHRS10	NA
PDGFA	ENSG00000197461
STK10	ENSG00000072786
MAP1A	ENSG00000166963
ARID3A	ENSG00000116017
ATXN3	ENSG00000066427
GRIK1	ENSG00000171189
C19orf6	NA
PACRG	ENSG00000112530
DKFZP564C196	NA
SNFT	NA
AMMECR1	ENSG00000101935
ST7L	ENSG00000007341
KALRN	ENSG00000160145
CNTNAP1	ENSG00000108797
HIST2H2BE	ENSG00000264719
EGFR	ENSG00000146648
CHRM5	ENSG00000184984
SRGAP2	ENSG00000163486
PSRC1	ENSG00000134222
YKT6	ENSG00000106636
Cep72	NA
ENG	ENSG00000106991
GMNN	ENSG00000112312
DPYSL4	ENSG00000151640
FBXW7	ENSG00000109670
FLJ21272	NA
SOCS6	ENSG00000170677
PAWR	ENSG00000177425
KCNAB1	ENSG00000169282
CLK1	ENSG00000013441
TLR5	ENSG00000187554
FLJ20054	NA
CHRNG	ENSG00000196811
SKP2	ENSG00000145604
TFCP2L1	ENSG00000115112
CD300C	ENSG00000167850
IFNG	ENSG00000111537
PILRB	ENSG00000121716
MARK1	ENSG00000116141
COL8A2	ENSG00000171812
IRF2BP1	ENSG00000170604
OR7C1	ENSG00000127530
NNT	ENSG00000112992
HIST1H2BF	ENSG00000197846
DNAJC17	ENSG00000104129
BHLHB2	NA
OR7E24	ENSG00000237521
ADCYAP1R1	ENSG00000078549
PTDSS2	ENSG00000174915
TTTY9	NA
ETNK1	ENSG00000139163
CAMKV	ENSG00000164076
ZBTB38	ENSG00000177311
C7orf28B	NA
PRKY	ENSG00000099725
HSPC157	NA
FLJ20674	NA
GLI2	ENSG00000074047
MPZ	LRG_256
TAL1	ENSG00000162367
LOC153561	NA
ARHGAP24	ENSG00000138639
STXBP5L	ENSG00000145087
C19orf36	NA
C9orf125	NA
SLCO2A1	ENSG00000174640
LOC93349	NA
GLT28D1	NA
GDF3	ENSG00000184344
NUCB2	ENSG00000070081
STCH	NA
SPON2	ENSG00000159674
EFNB1	ENSG00000090776
PGK2	ENSG00000170950
MUSK	ENSG00000030304
TRPV4	LRG_372
RDH8	ENSG00000080511
CACNA1A	LRG_7
CDKN2A	ENSG00000147889
PDHA2	ENSG00000163114
IL11	ENSG00000095752
TMPRSS6	ENSG00000187045
PPFIBP1	ENSG00000110841
FLNB	ENSG00000136068
FLJ13195	NA
KCNC4	ENSG00000116396
TMEM22	NA
BAZ1A	ENSG00000198604
CNGB1	ENSG00000070729
ADFP	NA
NXPH3	ENSG00000182575
ARVCF	ENSG00000099889
A4GNT	ENSG00000118017
FLJ23342	NA
OBSCN	ENSG00000154358
LOC400742	NA
SCN1B	ENSG00000105711
RP11-444E17.5	NA
FLT1	ENSG00000102755
RFC3	ENSG00000133119
ARHGDIG	ENSG00000242173
ZCCHC10	ENSG00000155329
COL4A3	LRG_230
BTN2A3	NA
KCNA6	ENSG00000151079
GNB1L	ENSG00000185838
ARHGAP19	ENSG00000213390
IL2RA	LRG_73
FLJ14031	NA
PFKP	ENSG00000067057
PRELP	ENSG00000188783
OR2C1	ENSG00000168158
RAB15	ENSG00000139998
KIFAP3	ENSG00000075945
HCRT	ENSG00000161610
MTHFR	ENSG00000177000
RIP	NA
SRPX2	ENSG00000102359
TNFSF4	ENSG00000117586
TPK1	ENSG00000196511
LILRA5	ENSG00000262800
AURKC	ENSG00000105146
CABYR	ENSG00000154040
UGDH	ENSG00000109814
TRIB2	ENSG00000071575
FXYD5	ENSG00000089327
ZNF91	ENSG00000167232
SLC39A14	ENSG00000104635
TMEM51	ENSG00000171729
RAMP1	ENSG00000132329
PTPN12	ENSG00000127947
KIAA0802	NA
PDE7B	ENSG00000171408
SLC45A2	ENSG00000164175
PROL1	ENSG00000171199
TEX15	ENSG00000133863
LOC440737	NA
RASA2	ENSG00000155903
ARTN	ENSG00000117407
WASL	ENSG00000106299
DNAH17	ENSG00000187775
HIST2H2AA	NA
ADRA2B	ENSG00000222040
FAM61B	NA
GPR32	ENSG00000142511
PIGR	ENSG00000162896
SLC16A1	ENSG00000155380
PLEKHF2	ENSG00000175895
LAIR1	ENSG00000262936
DKFZp566O084	NA
TSC22D3	ENSG00000157514
FAAH	ENSG00000117480
SLC25A13	ENSG00000004864
PCDHA5	ENSG00000204965
C1QTNF3	ENSG00000082196
HSHUR7SEQ	NA
SMAD1	ENSG00000170365
SCAP1	NA
SH2D2A	ENSG00000027869
FLJ12443	NA
KHDRBS2	ENSG00000112232
FLJ10925	NA
FGFR2	ENSG00000066468
COL13A1	ENSG00000197467
FAM18B	NA
ABCA5	ENSG00000154265
IQCA	NA
PDLIM4	ENSG00000131435
FBXO2	ENSG00000116661
STAT4	ENSG00000138378
SOCS7	ENSG00000174111
INVS	ENSG00000119509
B3GALT4	ENSG00000206285
GALGT	NA
LIN7C	ENSG00000148943
FKBP14	LRG_454
ALDH2	ENSG00000111275
EPB41L4B	ENSG00000095203
SERPINB8	ENSG00000166401
LOC88523	NA
LOC126208	NA
TRIP6	ENSG00000087077
GPR147	NA
NRIP3	ENSG00000175352
TBX21	ENSG00000073861
DAAM2	ENSG00000146122
OR7E91P	ENSG00000271942
TSSC4	ENSG00000184281
FBXO3	ENSG00000110429
LIN7B	ENSG00000104863
CCNT1	ENSG00000129315
MICAL2	ENSG00000133816
DENND1A	ENSG00000119522
DCHS1	ENSG00000166341
SLC7A4	ENSG00000099960
SIAH2	ENSG00000181788
PEX13	ENSG00000162928
ASB9	ENSG00000102048
CCNJ	ENSG00000107443
LPGAT1	ENSG00000123684
ANXA4	ENSG00000196975
CACNA1G	ENSG00000006283
COBLL1	ENSG00000082438
C6orf145	NA
HSPA6	ENSG00000173110
KIBRA	NA
ANXA2P3	ENSG00000216740
LIM2	ENSG00000105370
CDADC1	ENSG00000102543
BZRAP1	ENSG00000005379
ARHGEF4	ENSG00000136002
MOGAT2	ENSG00000166391
C16orf5	NA
EPPK1	ENSG00000261150
FAM63B	ENSG00000128923
CLSTN3	ENSG00000139182
AP4M1	ENSG00000221838
FLJ14107	NA
C14orf111	NA
HAND1	ENSG00000113196
P18SRP	NA
AGXT	ENSG00000172482
CSF2	ENSG00000164400
KCNN1	NA
THSD1	ENSG00000136114
LRRC20	ENSG00000172731
ATP10B	ENSG00000118322
GAL	ENSG00000069482
RDS	NA
RICS	NA
ZNF484	ENSG00000127081
TOP3B	ENSG00000100038
RTN2	ENSG00000125744
HOXA4	ENSG00000197576
TCF2	NA
PTP4A3	ENSG00000184489
dJ222E13.2	NA
MET	ENSG00000105976
ADA	LRG_16
OR10H3	ENSG00000171936
IL5RA	ENSG00000091181
SSX2	ENSG00000267864
LGALS14	ENSG00000006659
C1orf54	ENSG00000266177
PRL	ENSG00000172179
HABP4	ENSG00000130956
NR4A1	ENSG00000123358
CENTB2	NA
C1orf34	NA
BMP15	ENSG00000269479
FLJ11800	NA
FZD4	ENSG00000174804
RNU17D	NA
MITF	ENSG00000187098
NCALD	ENSG00000104490
ISYNA1	ENSG00000105655
AAAS	ENSG00000094914
HRH4	ENSG00000134489
BCL6	ENSG00000113916
CDH4	ENSG00000179242
SNRPN	ENSG00000128739
SLC5A2	ENSG00000140675
CACNG4	ENSG00000075461
JMJD4	ENSG00000081692
RCBTB1	ENSG00000136144
GPR135	ENSG00000181619
ZNF528	ENSG00000167555
BTBD5	NA
NME3	ENSG00000103024
PIK3CD	ENSG00000171608
DTYMK	ENSG00000168393
CTSC	LRG_50
DLG4	ENSG00000132535
CDKL3	ENSG00000006837
KIF1B	LRG_252
ZNF536	ENSG00000198597
SLC6A12	ENSG00000111181
GAB2	ENSG00000033327
IL23A	ENSG00000110944
DBR1	ENSG00000138231
NHLH2	ENSG00000177551
MCTP2	ENSG00000140563
MGC29898	NA
KIAA0377	NA
TEX13B	ENSG00000170925
DO	NA
ADAM30	ENSG00000134249
FLJ21148	NA
ZNF507	ENSG00000168813
KIAA0485	NA
EIF2AK3	ENSG00000172071
IGSF4C	NA
LMTK2	ENSG00000164715
RASAL1	ENSG00000111344
CCKBR	ENSG00000110148
HDAC4	ENSG00000068024
FLJ13265	NA
CALML3	ENSG00000178363
LRRC48	ENSG00000171962
ZNF443	ENSG00000180855
FLJ25476	NA
GNG4	ENSG00000168243
PPCDC	ENSG00000138621
BRF1	ENSG00000185024
ZFYVE21	ENSG00000100711
NAG8	NA
MGC22014	NA
DNAJC10	ENSG00000077232
SPCS3	ENSG00000129128
AR	ENSG00000169083
POR	ENSG00000262569
SPA17	ENSG00000064199
DLC1	ENSG00000164741
TCP10	ENSG00000203690
FLJ12595	NA
NOS2A	NA
RWDD3	ENSG00000122481
KCNAB3	ENSG00000170049
RRAGB	ENSG00000083750
MAP2	ENSG00000078018
HLA-DQB2	ENSG00000228254
LRP1	ENSG00000123384
TSPAN15	ENSG00000099282
GFPT2	ENSG00000131459
TFAP4	ENSG00000090447
RIF1	ENSG00000080345
ZNF140	ENSG00000196387
FLJ11000	NA
LAMB4	ENSG00000091128
MSN	ENSG00000147065
GOLPH3L	ENSG00000143457
TGFB2	ENSG00000092969
UGT2B15	ENSG00000196620
CCNE1	ENSG00000105173
HLA-DRB6	ENSG00000229391
ZNF447	NA
FLJ11273	NA
GPATC1	NA
FLJ20507	NA
IL1A	ENSG00000115008
TAF12	ENSG00000120656
TBL1XR1	ENSG00000177565
TP73L	NA
C10orf57	NA
POLA2	ENSG00000014138
OSBPL7	ENSG00000006025
GSR	ENSG00000104687
C1orf82	NA
TNFAIP3	ENSG00000118503
FAM38A	NA
HIST1H2AB	ENSG00000137259
C6orf96	NA
C2orf26	NA
UTP14A	ENSG00000156697
JAK2	ENSG00000096968
SPDEF	ENSG00000124664
LTBP1	ENSG00000049323
ADAM29	ENSG00000168594
BRWD1	ENSG00000185658
CCNF	ENSG00000162063
C1orf22	NA
RBM21	NA
SCARA3	ENSG00000168077
HSPC121	NA
CARD10	ENSG00000100065
HAAO	ENSG00000162882
ZBTB20	ENSG00000181722
SMARCAL1	LRG_108
OR2J2	ENSG00000204700
NPFF	ENSG00000139574
EMID1	ENSG00000186998
PIP5K1B	ENSG00000107242
LZTFL1	ENSG00000163818
CD34	ENSG00000174059
DKFZp564K142	NA
UBE2M	ENSG00000130725
TTTY2	ENSG00000212855
CDKN3	ENSG00000100526
MDFI	ENSG00000112559
DNAJC15	ENSG00000120675
FLJ11795	NA
ETS2	ENSG00000157557
CD58	ENSG00000116815
AP1G2	ENSG00000213983
OAZ3	ENSG00000143450
PPAP2A	ENSG00000067113
LTBR	ENSG00000111321
RPGR	ENSG00000156313
CDY1	ENSG00000172288
MON1B	ENSG00000103111
GSTA1	ENSG00000243955
GABARAPL1	ENSG00000139112
NR1D2	ENSG00000174738
KCNQ4	ENSG00000117013
FLJ41278	NA
RAB40B	ENSG00000141542
OR52A1	ENSG00000182070
TBC1D3	ENSG00000197681
HIVEP1	ENSG00000095951
KLRD1	ENSG00000134539
ALDH7A1	ENSG00000164904
HERC5	ENSG00000138646
GOT1	ENSG00000120053
C7orf16	NA
RNF39	ENSG00000235022
EMID2	NA
ETS1	ENSG00000134954
DST	ENSG00000151914
IRS3L	NA
PRKCH	ENSG00000027075
NOV	ENSG00000136999
TAS2R4	ENSG00000127364
CHI3L2	ENSG00000064886
ZC3H12A	ENSG00000163874
IFNA13	ENSG00000233816
ANXA2P1	ENSG00000213406
COL5A3	ENSG00000080573
SEMA6B	ENSG00000167680
CRSP7	NA
SEMA3G	ENSG00000010319
CST4	ENSG00000101441
ACSBG2	ENSG00000130377
PYGO1	ENSG00000171016
TRAF1	ENSG00000056558
SH3TC1	ENSG00000125089
HOXB7	ENSG00000260027
GRK4	ENSG00000125388
SMN1	ENSG00000172062
HMG4L	NA
TLR6	ENSG00000174130
SIRT4	ENSG00000089163
DNAH9	ENSG00000007174
BHLHB9	ENSG00000198908
VRK1	ENSG00000100749
C14orf65	NA
TMEM108	ENSG00000144868
PLXDC1	ENSG00000161381
CACNA1D	ENSG00000157388
IFITM1	ENSG00000185885
ATXN7L1	ENSG00000146776
ASB4	ENSG00000005981
FLJ23447	NA
LOC654434	NA
C1orf68	ENSG00000198854
FAS	LRG_134
SLC2A11	ENSG00000133460
DUSP9	ENSG00000269798
GPR37	ENSG00000170775
FLJ22955	NA
PLA2G2F	ENSG00000158786
CHIA	ENSG00000134216
ZWINT	ENSG00000122952
CA7	ENSG00000168748
ATP2B3	ENSG00000263148
NEXN	LRG_442
PCAF	NA
PRPF39	ENSG00000185246
CYP2A7P1	ENSG00000213908
NTN1	ENSG00000065320
SEMA4A	ENSG00000196189
CHRNB1	ENSG00000170175
KLF6	ENSG00000067082
PKD2	ENSG00000118762
FLJ10661	NA
AGL	ENSG00000162688
A4GALT	ENSG00000128274
NPAL3	NA
RIMS3	ENSG00000117016
TGM5	ENSG00000104055
TMEM111	NA
SHOX2	ENSG00000168779
ANAPC10	ENSG00000164162
DAPK2	ENSG00000035664
RHAG	ENSG00000112077
CRISP1	ENSG00000124812
APBA2	ENSG00000034053
KCNJ9	ENSG00000162728
FANCL	ENSG00000115392
VEZATIN	NA
STK39	ENSG00000198648
DOCK5	ENSG00000147459
ATXN1	ENSG00000124788
NOL10	ENSG00000115761
SLC6A8	ENSG00000268982
GPR	NA
PAFAH1B3	ENSG00000079462
GPSM3	ENSG00000234243
ACSL1	ENSG00000151726
CREB3L1	ENSG00000157613
IFIT2	ENSG00000119922
CNKSR1	ENSG00000142675
Sep-06	NA
SEC6L1	NA
RLN1	ENSG00000107018
CHST1	ENSG00000175264
KIF5A	ENSG00000155980
LATS1	ENSG00000131023
GPR44	NA
IQCG	ENSG00000114473
GPX7	ENSG00000116157
SERPINA4	ENSG00000100665
AQP6	ENSG00000086159
HMGA1	ENSG00000137309
HAO2	ENSG00000116882
BIRC4	NA
DUSP13	ENSG00000079393
DKFZp434N2030	NA
C1orf20	NA
KIAA1166	NA
ASPSCR1	ENSG00000169696
NMT2	ENSG00000152465
WDR67	NA
PIPOX	ENSG00000179761
LY6G6D	ENSG00000244355
ANKRD11	ENSG00000167522
FGFR3	ENSG00000068078
ATF3	ENSG00000162772
SLC2A5	ENSG00000142583
FLJ33790	NA
CD177	ENSG00000204936
CCDC28B	ENSG00000160050
KRTAP1-1	ENSG00000188581
KPNA4	ENSG00000186432
CHST3	ENSG00000122863
GLT8D2	ENSG00000120820
GEMIN6	ENSG00000152147
NUP155	ENSG00000113569
MTMR7	ENSG00000003987
Cep290	NA
TAOK1	ENSG00000160551
MS4A2	ENSG00000149534
LOC93432	NA
DGCR5	ENSG00000237517
ATP10D	ENSG00000145246
RAMP3	ENSG00000122679
CLDN18	ENSG00000066405
KCNIP2	ENSG00000120049
PPP2R3A	ENSG00000073711
PCDH17	ENSG00000118946
GPC5	ENSG00000179399
ARHGEF6	ENSG00000129675
GJB1	LRG_245
OR4F21	ENSG00000176269
KLHL1	ENSG00000150361
LOC145678	NA
TUBGCP3	ENSG00000126216
ITGAV	ENSG00000138448
H1F0	ENSG00000189060
MICAL-L2	NA
SORL1	ENSG00000137642
LOC388389	NA
MXRA8	ENSG00000162576
BCAS3	ENSG00000141376
MGC40069	NA
LY86	ENSG00000112799
FMNL2	ENSG00000157827
CEBPE	LRG_45
POLE2	ENSG00000100479
DNAI2	ENSG00000171595
MGC4172	NA
HTR1F	ENSG00000179097
RAFTLIN	NA
EPB41L4A	ENSG00000129595
LCN1	ENSG00000160349
BEAN	NA
AMELY	ENSG00000099721
IL1RAPL1	ENSG00000169306
HES1	ENSG00000114315
E2F5	ENSG00000133740
TMEM19	ENSG00000139291
CHRNA6	ENSG00000147434
LOC221362	NA
FGF17	ENSG00000158815
STXBP3	ENSG00000116266
SIRPB1	ENSG00000101307
HIST1H2BI	ENSG00000168242
BPGM	ENSG00000172331
LOC441104	NA
KIAA0963	NA
TMCO3	ENSG00000150403
ZFP36	ENSG00000128016
CLPS	ENSG00000137392
PLSCR2	ENSG00000163746
NR4A3	ENSG00000119508
BIN1	ENSG00000136717
IL11RA	ENSG00000137070
C9orf116	ENSG00000160345
ZNF137	NA
TRIM31	ENSG00000233573
MPPED1	ENSG00000186732
NHLRC2	ENSG00000196865
MTRF1L	ENSG00000112031
NFIC	ENSG00000141905
COG7	ENSG00000168434
VMD2	NA
P2RY6	ENSG00000171631
SNCA	ENSG00000145335
ORC6L	NA
SH3YL1	ENSG00000035115
SEPX1	NA
LOC23117	NA
DNMT3B	LRG_56
JRKL	ENSG00000183340
MTRF1	ENSG00000120662
DDX6	ENSG00000269612
IGSF3	ENSG00000143061
FYCO1	ENSG00000163820
C16orf30	NA
GRK1	ENSG00000185974
FXYD3	ENSG00000089356
FLJ11827	NA
JAM3	ENSG00000166086
TENC1	ENSG00000111077
F5	ENSG00000198734
LRP3	ENSG00000130881
HIST1H2AC	ENSG00000180573
MYO1B	ENSG00000128641
GDF11	ENSG00000135414
SEC15L2	NA
TJP1	ENSG00000104067
F11R	ENSG00000158769
POU3F4	ENSG00000196767
MYL4	ENSG00000198336
LRP16	NA
MAST3	ENSG00000099308
BCL11A	ENSG00000119866
TUBA8	ENSG00000183785
ITGB5	ENSG00000082781
TGM2	ENSG00000198959
MGC14376	NA
C13orf1	NA
FPRL2	NA
GLIS1	ENSG00000174332
TAF1B	ENSG00000115750
VANGL1	ENSG00000173218
KLHL3	ENSG00000146021
FTS	NA
NEDD4	ENSG00000069869
MT1M	ENSG00000205364
LRFN3	ENSG00000126243
CD207	ENSG00000272210
PDE3B	ENSG00000152270
ZMYM1	ENSG00000197056
MORC3	ENSG00000159256
CSN2	ENSG00000135222
GNG3	ENSG00000162188
MYLIP	ENSG00000007944
CYP27B1	ENSG00000111012
STAB1	ENSG00000010327
ATP12A	ENSG00000075673
MGC3036	NA
MED25	LRG_368
TRO	ENSG00000067445
FLJ10560	NA
MMP27	ENSG00000137675
LOC339524	NA
MPDU1	ENSG00000129255
LOC57228	NA
SLC39A4	ENSG00000147804
PHLDA1	ENSG00000139289
MCM4	ENSG00000104738
PGCP	NA
INSL3	ENSG00000248099
SPAST	ENSG00000021574
GABRQ	ENSG00000147402
GAD2	ENSG00000136750
C13orf24	NA
TAT	ENSG00000198650
DENND2A	ENSG00000146966
CASP8	LRG_34
SLC25A23	ENSG00000125648
CRYGD	ENSG00000118231
ARL7	NA
CLUL1	ENSG00000079101
GML	ENSG00000104499
PRPS1L1	ENSG00000229937
G1P2	NA
BMP5	ENSG00000112175
TAS2R1	ENSG00000169777
GPR75	ENSG00000119737
SYNGR4	ENSG00000105467
NAV1	ENSG00000134369
CXCR3	ENSG00000186810
CACNA2D2	ENSG00000007402
NMI	ENSG00000123609
SLC16A2	ENSG00000147100
HMOX1	ENSG00000100292
DCC1	NA
AHDC1	ENSG00000126705
GUCA1B	ENSG00000112599
FAM64A	ENSG00000129195
COL4A6	ENSG00000197565
GSDMDC1	NA
ARL4	NA
CALB2	ENSG00000172137
CD44	ENSG00000026508
FLJ10246	NA
KCNIP1	ENSG00000182132
LAPTM4B	ENSG00000104341
ALX4	ENSG00000052850
NRBF2	ENSG00000148572
SNTB1	ENSG00000172164
SMAD5	ENSG00000113658
CRYBB2	ENSG00000244752
MGC27165	NA
MED18	ENSG00000130772
C1orf56	ENSG00000143443
HS3ST3B1	ENSG00000125430
HSF2	ENSG00000025156
OPRK1	ENSG00000082556
ZNF304	ENSG00000131845
GABRA4	ENSG00000109158
NBLA03831	NA
HPCAL4	ENSG00000116983
LOC283824	NA
ESR1	ENSG00000091831
TM6SF1	ENSG00000136404
FLJ12748	NA
HCG9	ENSG00000227647
MUM1	ENSG00000160953
SOX5	ENSG00000134532
TRIP13	ENSG00000071539
ZNF323	NA
LUZP5	NA
SERPINB9	ENSG00000170542
PART1	ENSG00000152931
FLJ90013	NA
DLG5	ENSG00000151208
LMO6	NA
NPAS3	ENSG00000151322
HHAT	ENSG00000054392
ARSE	ENSG00000157399
PCDHA9	ENSG00000204961
KIAA0701	NA
TNFSF18	ENSG00000120337
PDE8B	ENSG00000113231
ST3GAL1	ENSG00000008513
THAP3	ENSG00000041988
C6orf166	NA
SLC22A4	ENSG00000197208
KIFC3	ENSG00000269180
HOXB6	ENSG00000108511
SLC4A4	ENSG00000080493
SMPD2	ENSG00000135587
SEMA7A	ENSG00000138623
HOMER2	ENSG00000103942
HSD11B1	ENSG00000117594
NOL3	ENSG00000140939
KRTHA1	NA
CSF2RA	ENSG00000198223
FST	ENSG00000134363
DLGAP2	ENSG00000198010
ZNF267	ENSG00000185947
NR1I3	ENSG00000143257
GRM7	ENSG00000196277
UCK2	ENSG00000143179
FBXL15	ENSG00000107872
FOXF2	ENSG00000137273
LEFTY2	ENSG00000143768
RRAS2	ENSG00000133818
PYGL	ENSG00000100504
ZNF358	ENSG00000198816
MNAT1	ENSG00000020426
KCNA1	ENSG00000111262
ASNS	ENSG00000070669
ASRGL1	ENSG00000162174
RGSL2	NA
COLEC10	ENSG00000184374
HERC6	ENSG00000138642
C16orf44	NA
HDGFRP3	NA
TRPC6	ENSG00000137672
PON2	ENSG00000105854
PPP1R12B	ENSG00000077157
RORC	ENSG00000143365
DHCR24	ENSG00000116133
C6orf123	ENSG00000146521
SNAPC1	ENSG00000023608
STARD5	ENSG00000172345
NBR2	ENSG00000198496
PTPRE	ENSG00000132334
GOLPH4	NA
LAT2	ENSG00000262128
TP53	LRG_321
F25965	NA
FRMPD1	ENSG00000070601
KCNH6	ENSG00000173826
SLC28A2	ENSG00000137860
STK4	LRG_535
ANTXR1	ENSG00000169604
SLC17A4	ENSG00000146039
KIR2DL3	ENSG00000263027
FLJ20298	NA
C2GNT3	NA
LRRC49	ENSG00000137821
ALDOC	ENSG00000109107
KRT24	ENSG00000167916
LBP	ENSG00000129988
HB-1	NA
ADAM18	ENSG00000168619
ZNF10	ENSG00000256223
GRIN1	ENSG00000176884
EPC1	ENSG00000120616
TMEM48	NA
CDKN1C	ENSG00000129757
MMP25	ENSG00000008516
ADH6	ENSG00000172955
RNF170	ENSG00000120925
CG030	NA
RALGPS1	ENSG00000136828
GPR15	ENSG00000154165
ARSA	ENSG00000100299
C9orf45	NA
DYRK1B	ENSG00000105204
TYR	ENSG00000077498
LOC90586	NA
FLJ13984	NA
LGALS1	ENSG00000100097
SLAMF8	ENSG00000158714
CASP6	ENSG00000138794
APOBEC3G	ENSG00000239713
INHA	ENSG00000123999
LNPEP	ENSG00000113441
