Identifiers	mean	sd	median	minimum	maximum	n	Mean/StdDev	CV	MFC
STCH	7.43	1.33	7.46	2.22	11.67	13629	5.60	17.84	5.26
SPON2	7.90	1.41	7.82	2.42	13.90	13629	5.60	17.85	5.74
EFNB1	5.70	1.02	5.78	1.95	9.81	13629	5.60	17.85	5.03
PGK2	4.94	0.88	4.97	1.89	11.15	13629	5.60	17.85	5.91
MUSK	4.28	0.76	4.35	1.77	7.36	13629	5.60	17.85	4.17
TRPV4	5.17	0.92	5.22	2.07	9.23	13629	5.60	17.85	4.46
RDH8	5.36	0.96	5.44	2.07	9.47	13629	5.60	17.85	4.57
CACNA1A	5.64	1.01	5.47	2.43	11.84	13629	5.60	17.85	4.87
CDKN2A	6.41	1.15	6.12	2.77	11.02	13629	5.60	17.85	3.98
PDHA2	5.37	0.96	5.50	0.93	11.94	13629	5.60	17.86	12.90
IL11	5.33	0.95	5.34	2.29	11.68	13629	5.60	17.86	5.10
TMPRSS6	6.82	1.22	6.80	2.70	10.99	13629	5.60	17.87	4.07
PPFIBP1	6.16	1.10	6.17	3.00	11.76	13629	5.60	17.87	3.92
FLNB	7.90	1.41	7.92	2.88	13.02	13629	5.60	17.87	4.53
FLJ13195	5.39	0.96	5.57	2.08	9.17	13629	5.60	17.87	4.42
KCNC4	5.40	0.97	5.57	0.93	8.77	13629	5.60	17.87	9.47
TMEM22	6.61	1.18	6.54	2.05	10.21	13629	5.59	17.87	4.97
BAZ1A	7.50	1.34	7.69	2.46	11.77	13629	5.59	17.88	4.78
CNGB1	4.44	0.79	4.41	2.43	9.95	13629	5.59	17.88	4.09
ADFP	8.65	1.55	8.64	2.54	14.03	13629	5.59	17.88	5.53
NXPH3	6.71	1.20	6.75	2.04	11.72	13629	5.59	17.89	5.76
ARVCF	6.27	1.12	6.05	2.12	10.54	13629	5.59	17.89	4.97
A4GNT	5.82	1.04	5.96	1.81	9.52	13629	5.59	17.89	5.27
FLJ23342	6.45	1.15	6.47	1.99	10.57	13629	5.59	17.89	5.32
OBSCN	5.04	0.90	5.00	2.14	9.61	13629	5.59	17.89	4.49
LOC400742	5.20	0.93	5.34	0.93	8.24	13629	5.59	17.89	8.89
SCN1B	6.52	1.17	6.39	2.67	11.53	13629	5.59	17.90	4.32
RP11-444E17.5	5.80	1.04	5.73	2.07	11.18	13629	5.59	17.90	5.40
FLT1	5.25	0.94	5.20	1.93	9.83	13629	5.59	17.90	5.10
RFC3	7.08	1.27	6.98	2.98	11.25	13629	5.58	17.91	3.77
ARHGDIG	5.26	0.94	5.16	2.40	9.64	13629	5.58	17.91	4.02
ZCCHC10	6.57	1.18	6.74	1.72	10.37	13629	5.58	17.92	6.02
COL4A3	4.81	0.86	4.71	2.81	9.42	13629	5.58	17.92	3.35
BTN2A3	5.33	0.96	5.45	1.58	9.63	13629	5.58	17.92	6.08
KCNA6	5.76	1.03	5.77	2.41	9.61	13629	5.58	17.92	3.98
GNB1L	6.04	1.08	6.09	2.37	9.59	13629	5.58	17.92	4.04
ARHGAP19	6.01	1.08	6.07	2.45	10.07	13629	5.58	17.92	4.10
IL2RA	5.38	0.97	5.36	2.37	11.55	13629	5.58	17.93	4.87
FLJ14031	5.25	0.94	5.38	1.89	9.00	13629	5.58	17.93	4.77
PFKP	8.89	1.59	9.13	2.04	12.72	13629	5.58	17.93	6.25
PRELP	6.94	1.24	6.77	2.74	11.62	13629	5.58	17.93	4.23
OR2C1	6.02	1.08	6.19	1.85	10.30	13629	5.58	17.93	5.58
RAB15	7.11	1.27	7.16	2.78	12.42	13629	5.58	17.94	4.47
KIFAP3	7.58	1.36	7.70	2.18	11.51	13629	5.58	17.94	5.27
HCRT	5.38	0.96	5.44	1.63	11.41	13629	5.58	17.94	6.99
MTHFR	4.83	0.87	4.78	2.39	7.99	13629	5.57	17.94	3.34
RIP	4.91	0.88	4.88	2.34	11.64	13629	5.57	17.94	4.98
SRPX2	5.00	0.90	4.92	2.14	9.96	13629	5.57	17.95	4.65
TNFSF4	6.29	1.13	6.26	2.00	12.10	13629	5.57	17.95	6.05
TPK1	6.35	1.14	6.38	2.00	12.03	13629	5.57	17.95	6.02
LILRA5	5.00	0.90	4.89	1.68	10.74	13629	5.57	17.95	6.40
AURKC	5.82	1.05	5.94	1.32	10.78	13629	5.57	17.95	8.15
CABYR	6.06	1.09	6.20	2.03	12.62	13629	5.57	17.95	6.23
UGDH	8.04	1.44	8.05	2.20	12.53	13629	5.57	17.95	5.69
TRIB2	7.36	1.32	7.37	2.66	12.42	13629	5.57	17.96	4.68
FXYD5	8.38	1.51	8.27	2.83	12.30	13629	5.57	17.96	4.35
ZNF91	8.55	1.54	8.71	1.89	12.96	13629	5.57	17.96	6.87
SLC39A14	8.48	1.52	8.63	2.38	12.91	13629	5.57	17.96	5.43
TMEM51	6.52	1.17	6.68	2.17	10.51	13629	5.57	17.96	4.84
RAMP1	7.13	1.28	7.07	2.20	13.14	13629	5.57	17.97	5.97
PTPN12	6.76	1.21	6.94	2.38	10.52	13629	5.56	17.97	4.41
KIAA0802	7.02	1.26	6.90	2.08	12.65	13629	5.56	17.97	6.09
PDE7B	5.25	0.94	5.39	1.85	8.59	13629	5.56	17.97	4.65
SLC45A2	5.12	0.92	5.20	2.29	11.49	13629	5.56	17.97	5.01
PROL1	5.73	1.03	5.79	1.96	12.27	13629	5.56	17.97	6.25
TEX15	5.35	0.96	5.52	1.91	9.51	13629	5.56	17.97	4.97
LOC440737	9.84	1.77	9.89	1.93	14.03	13629	5.56	17.98	7.28
RASA2	5.86	1.05	5.96	1.95	9.44	13629	5.56	17.98	4.84
ARTN	5.44	0.98	5.37	2.45	10.87	13629	5.56	17.98	4.44
WASL	5.57	1.00	5.62	2.45	10.00	13629	5.56	17.98	4.07
DNAH17	5.24	0.94	5.34	1.96	9.40	13629	5.56	17.99	4.79
HIST2H2AA	8.59	1.54	8.39	4.21	13.16	13629	5.56	17.99	3.13
ADRA2B	5.56	1.00	5.68	2.38	9.06	13629	5.56	17.99	3.81
FAM61B	5.92	1.07	6.09	2.29	10.37	13629	5.56	17.99	4.53
GPR32	4.93	0.89	5.02	1.77	8.17	13629	5.56	17.99	4.63
PIGR	6.62	1.19	6.69	1.93	12.53	13629	5.56	18.00	6.50
SLC16A1	6.93	1.25	6.98	3.10	11.26	13629	5.56	18.00	3.63
PLEKHF2	7.66	1.38	7.76	1.32	11.95	13629	5.56	18.00	9.04
LAIR1	6.89	1.24	6.70	3.10	11.30	13629	5.55	18.00	3.64
DKFZp566O084	6.70	1.21	6.96	1.20	11.25	13629	5.55	18.01	9.36
TSC22D3	8.84	1.59	8.72	3.12	13.14	13629	5.55	18.01	4.21
FAAH	6.03	1.09	6.13	2.26	9.53	13629	5.55	18.01	4.21
SLC25A13	6.76	1.22	6.90	2.07	11.04	13629	5.55	18.02	5.34
PCDHA5	4.90	0.88	4.94	2.07	8.11	13629	5.55	18.02	3.91
C1QTNF3	6.34	1.14	6.20	2.00	12.59	13629	5.55	18.02	6.30
HSHUR7SEQ	4.32	0.78	4.32	2.10	7.51	13629	5.55	18.02	3.57
SMAD1	6.70	1.21	6.89	2.35	11.57	13629	5.55	18.02	4.92
SCAP1	6.92	1.25	6.90	1.54	11.29	13629	5.55	18.02	7.35
SH2D2A	6.47	1.17	6.51	2.34	11.44	13629	5.55	18.02	4.89
FLJ12443	7.83	1.41	7.91	2.39	13.09	13629	5.55	18.03	5.48
KHDRBS2	5.25	0.95	5.36	2.07	9.23	13629	5.54	18.04	4.46
FLJ10925	6.51	1.17	6.51	2.77	10.47	13629	5.54	18.04	3.78
FGFR2	5.36	0.97	5.15	3.18	11.95	13629	5.54	18.04	3.75
COL13A1	5.46	0.98	5.31	2.88	11.41	13629	5.54	18.04	3.97
FAM18B	7.30	1.32	7.34	1.43	11.62	13629	5.54	18.04	8.11
ABCA5	6.65	1.20	6.68	2.10	11.34	13629	5.54	18.04	5.39
IQCA	5.65	1.02	5.76	2.17	9.70	13629	5.54	18.04	4.47
PDLIM4	5.75	1.04	5.58	2.98	10.74	13629	5.54	18.04	3.60
FBXO2	6.39	1.15	6.22	2.17	12.89	13629	5.54	18.04	5.94
STAT4	6.90	1.25	6.78	2.24	12.17	13629	5.54	18.04	5.43
SOCS7	5.19	0.94	5.33	2.17	10.38	13629	5.54	18.04	4.78
INVS	5.01	0.90	5.15	2.08	8.19	13629	5.54	18.05	3.93
B3GALT4	6.45	1.16	6.62	2.43	10.50	13629	5.54	18.05	4.33
GALGT	5.89	1.06	5.98	2.14	10.74	13629	5.54	18.05	5.01
LIN7C	7.15	1.29	7.26	2.41	10.84	13629	5.54	18.05	4.50
FKBP14	6.33	1.14	6.30	2.07	10.21	13629	5.54	18.06	4.93
ALDH2	9.38	1.69	9.76	2.51	13.90	13629	5.54	18.06	5.54
EPB41L4B	6.60	1.19	6.46	2.76	12.01	13629	5.54	18.06	4.35
SERPINB8	6.30	1.14	6.26	2.29	10.55	13629	5.54	18.06	4.60
LOC88523	6.42	1.16	6.33	2.10	12.31	13629	5.54	18.06	5.85
LOC126208	5.81	1.05	5.94	2.23	10.38	13629	5.54	18.06	4.66
TRIP6	7.00	1.26	7.08	2.38	10.43	13629	5.54	18.06	4.39
GPR147	5.72	1.03	5.72	2.21	10.17	13629	5.54	18.06	4.61
NRIP3	6.69	1.21	6.62	2.24	12.79	13629	5.54	18.07	5.70
TBX21	6.26	1.13	6.23	2.26	11.26	13629	5.54	18.07	4.98
DAAM2	6.75	1.22	6.60	2.41	12.62	13629	5.53	18.07	5.24
OR7E91P	5.78	1.04	5.87	2.14	10.08	13629	5.53	18.07	4.72
TSSC4	6.35	1.15	6.60	2.10	10.57	13629	5.53	18.07	5.03
FBXO3	7.03	1.27	7.15	1.77	11.84	13629	5.53	18.07	6.71
LIN7B	5.95	1.08	5.99	2.08	9.54	13629	5.53	18.07	4.58
CCNT1	6.45	1.16	6.62	2.26	10.15	13629	5.53	18.07	4.48
MICAL2	7.59	1.37	7.51	1.95	12.20	13629	5.53	18.07	6.25
DENND1A	6.09	1.10	6.14	2.07	9.68	13629	5.53	18.07	4.68
DCHS1	6.23	1.13	6.20	2.54	10.72	13629	5.53	18.07	4.23
SLC7A4	5.35	0.97	5.52	2.08	8.63	13629	5.53	18.08	4.15
SIAH2	7.64	1.38	7.72	2.60	12.72	13629	5.53	18.08	4.90
PEX13	5.99	1.08	6.15	1.72	9.05	13629	5.53	18.08	5.25
ASB9	5.53	1.00	5.46	2.00	10.83	13629	5.53	18.09	5.41
CCNJ	5.84	1.06	5.93	1.77	10.49	13629	5.53	18.09	5.94
LPGAT1	7.65	1.38	7.89	2.22	11.69	13629	5.53	18.09	5.27
ANXA4	8.73	1.58	8.96	2.42	13.28	13629	5.53	18.10	5.49
CACNA1G	4.45	0.81	4.36	2.23	8.31	13629	5.52	18.10	3.72
COBLL1	5.85	1.06	5.78	2.74	10.74	13629	5.52	18.11	3.92
C6orf145	7.33	1.33	7.42	2.40	11.81	13629	5.52	18.11	4.92
HSPA6	6.53	1.18	6.33	2.81	12.84	13629	5.52	18.12	4.58
KIBRA	6.20	1.12	6.13	2.47	10.51	13629	5.52	18.12	4.25
ANXA2P3	6.17	1.12	6.28	1.83	9.94	13629	5.52	18.12	5.44
LIM2	5.33	0.97	5.49	2.00	9.14	13629	5.52	18.12	4.57
CDADC1	5.07	0.92	5.21	2.08	7.99	13629	5.52	18.12	3.84
BZRAP1	6.10	1.11	6.06	2.26	11.16	13629	5.52	18.13	4.93
ARHGEF4	5.39	0.98	5.22	2.68	10.41	13629	5.51	18.14	3.89
MOGAT2	5.51	1.00	5.55	1.85	9.53	13629	5.51	18.14	5.16
C16orf5	5.92	1.07	6.05	2.20	9.36	13629	5.51	18.14	4.25
EPPK1	6.36	1.15	6.33	2.07	10.80	13629	5.51	18.14	5.22
FAM63B	5.69	1.03	5.75	2.07	9.15	13629	5.51	18.14	4.42
CLSTN3	6.06	1.10	6.12	2.49	10.86	13629	5.51	18.14	4.37
AP4M1	5.78	1.05	5.98	2.20	8.53	13629	5.51	18.14	3.88
FLJ14107	5.63	1.02	5.69	2.29	8.92	13629	5.51	18.15	3.89
C14orf111	6.02	1.09	6.16	2.49	9.49	13629	5.51	18.15	3.82
HAND1	6.00	1.09	5.93	2.17	12.95	13629	5.51	18.16	5.97
P18SRP	5.81	1.05	5.85	1.54	9.77	13629	5.51	18.16	6.36
AGXT	4.36	0.79	4.38	2.41	12.36	13629	5.51	18.16	5.13
CSF2	5.01	0.91	4.99	2.51	11.51	13629	5.51	18.16	4.59
KCNN1	6.40	1.16	6.50	1.63	10.88	13629	5.51	18.16	6.66
THSD1	6.15	1.12	6.32	1.32	9.82	13629	5.51	18.16	7.43
LRRC20	6.22	1.13	6.20	2.54	11.12	13629	5.50	18.17	4.38
ATP10B	6.33	1.15	6.20	2.32	11.47	13629	5.50	18.17	4.94
GAL	5.63	1.02	5.49	2.35	12.23	13629	5.50	18.17	5.20
RDS	6.32	1.15	6.46	2.17	12.74	13629	5.50	18.17	5.87
RICS	6.40	1.16	6.29	2.68	10.97	13629	5.50	18.17	4.10
ZNF484	4.91	0.89	5.08	2.00	8.18	13629	5.50	18.17	4.09
TOP3B	5.08	0.92	5.14	2.29	8.73	13629	5.50	18.17	3.82
RTN2	6.75	1.23	6.61	2.95	12.43	13629	5.50	18.18	4.22
HOXA4	5.77	1.05	5.84	2.14	9.76	13629	5.50	18.18	4.56
TCF2	6.34	1.15	6.21	1.43	11.31	13629	5.50	18.18	7.89
PTP4A3	7.15	1.30	6.91	2.77	13.10	13629	5.50	18.18	4.74
dJ222E13.2	5.73	1.04	5.87	2.29	9.21	13629	5.50	18.18	4.02
MET	6.85	1.24	6.60	3.22	12.41	13629	5.50	18.18	3.86
ADA	6.85	1.25	6.69	2.61	12.05	13629	5.50	18.18	4.62
OR10H3	6.12	1.11	6.32	1.85	9.49	13629	5.50	18.19	5.13
IL5RA	4.83	0.88	4.68	2.80	10.57	13629	5.50	18.19	3.78
SSX2	5.28	0.96	5.09	2.58	11.21	13629	5.50	18.19	4.34
LGALS14	5.76	1.05	5.87	1.83	13.16	13629	5.50	18.19	7.20
C1orf54	7.46	1.36	7.54	2.34	12.32	13629	5.50	18.19	5.27
PRL	5.59	1.02	5.61	1.96	14.03	13629	5.50	18.20	7.14
HABP4	5.29	0.96	5.27	2.32	9.32	13629	5.50	18.20	4.01
NR4A1	6.69	1.22	6.50	2.35	11.68	13629	5.50	18.20	4.97
CENTB2	6.83	1.24	7.04	2.10	10.66	13629	5.50	18.20	5.07
C1orf34	5.42	0.99	5.31	2.70	9.91	13629	5.50	18.20	3.67
BMP15	5.84	1.06	5.98	1.96	9.53	13629	5.49	18.20	4.86
FLJ11800	5.23	0.95	5.38	1.89	8.40	13629	5.49	18.20	4.45
FZD4	7.39	1.35	7.42	2.29	11.73	13629	5.49	18.21	5.12
RNU17D	5.77	1.05	5.95	2.00	9.12	13629	5.49	18.21	4.56
MITF	7.15	1.30	7.06	2.31	12.18	13629	5.49	18.21	5.27
NCALD	6.68	1.22	6.61	2.20	11.45	13629	5.49	18.21	5.20
ISYNA1	6.91	1.26	6.94	2.41	11.81	13629	5.49	18.21	4.90
AAAS	6.67	1.22	6.73	2.89	9.90	13629	5.49	18.21	3.43
HRH4	4.63	0.84	4.72	1.58	10.14	13629	5.49	18.21	6.40
BCL6	8.12	1.48	8.17	2.39	13.14	13629	5.49	18.21	5.50
CDH4	5.48	1.00	5.40	2.42	10.15	13629	5.49	18.21	4.19
SNRPN	8.33	1.52	8.55	3.49	12.40	13629	5.49	18.21	3.56
SLC5A2	6.04	1.10	6.06	2.40	10.91	13629	5.49	18.21	4.54
CACNG4	7.55	1.38	7.53	1.54	11.52	13629	5.49	18.22	7.50
JMJD4	5.95	1.08	6.09	2.42	9.48	13629	5.49	18.22	3.92
RCBTB1	6.91	1.26	7.12	2.00	11.58	13629	5.49	18.22	5.79
GPR135	3.98	0.72	3.96	2.08	8.00	13629	5.49	18.22	3.85
ZNF528	5.78	1.05	5.82	2.20	10.76	13629	5.49	18.22	4.89
BTBD5	5.70	1.04	5.83	2.08	9.85	13629	5.49	18.23	4.74
NME3	7.31	1.33	7.39	2.10	11.55	13629	5.49	18.23	5.49
PIK3CD	7.24	1.32	6.97	2.96	11.71	13629	5.48	18.23	3.95
DTYMK	6.61	1.21	6.67	2.39	10.95	13629	5.48	18.23	4.58
CTSC	8.96	1.63	9.20	2.46	14.03	13629	5.48	18.23	5.71
DLG4	5.23	0.95	5.17	2.44	8.70	13629	5.48	18.23	3.57
CDKL3	5.62	1.02	5.77	2.04	9.10	13629	5.48	18.24	4.47
KIF1B	7.65	1.40	7.55	2.43	12.40	13629	5.48	18.24	5.09
ZNF536	5.94	1.08	5.97	2.17	11.10	13629	5.48	18.24	5.12
SLC6A12	6.15	1.12	6.29	1.96	10.50	13629	5.48	18.24	5.35
GAB2	7.55	1.38	7.54	2.45	11.77	13629	5.48	18.24	4.81
IL23A	5.76	1.05	5.76	2.35	13.61	13629	5.48	18.25	5.79
DBR1	6.22	1.14	6.42	1.20	10.60	13629	5.48	18.26	8.82
NHLH2	4.48	0.82	4.43	2.20	10.46	13629	5.48	18.26	4.75
MCTP2	6.39	1.17	6.25	1.72	11.27	13629	5.48	18.26	6.54
MGC29898	4.40	0.80	4.44	2.14	7.79	13629	5.47	18.27	3.64
KIAA0377	5.67	1.04	5.85	2.29	9.91	13629	5.47	18.27	4.32
TEX13B	5.56	1.02	5.72	2.14	9.30	13629	5.47	18.27	4.35
DO	4.97	0.91	5.00	1.77	9.66	13629	5.47	18.27	5.47
ADAM30	5.45	1.00	5.56	2.08	9.54	13629	5.47	18.27	4.60
FLJ21148	5.98	1.09	6.09	1.49	10.03	13629	5.47	18.27	6.75
ZNF507	6.03	1.10	6.21	1.72	10.01	13629	5.47	18.27	5.81
KIAA0485	6.11	1.12	5.92	2.40	11.28	13629	5.47	18.27	4.69
EIF2AK3	7.76	1.42	7.75	2.14	12.12	13629	5.47	18.28	5.67
IGSF4C	4.30	0.79	4.29	1.85	9.03	13629	5.47	18.28	4.89
LMTK2	5.18	0.95	5.31	2.07	8.23	13629	5.47	18.29	3.98
RASAL1	6.37	1.17	6.35	2.14	10.92	13629	5.47	18.29	5.11
CCKBR	5.51	1.01	5.54	1.77	13.05	13629	5.47	18.29	7.39
HDAC4	6.39	1.17	6.47	2.31	12.79	13629	5.47	18.29	5.54
FLJ13265	7.14	1.31	7.20	2.23	11.33	13629	5.47	18.29	5.08
CALML3	5.59	1.02	5.47	2.54	11.82	13629	5.47	18.29	4.66
LRRC48	5.78	1.06	5.90	2.34	11.57	13629	5.47	18.29	4.94
ZNF443	6.86	1.25	7.07	1.85	10.47	13629	5.47	18.29	5.67
FLJ25476	4.97	0.91	5.10	1.72	8.21	13629	5.47	18.29	4.76
GNG4	6.55	1.20	6.56	1.89	11.60	13629	5.47	18.29	6.15
PPCDC	6.15	1.13	6.19	2.31	10.97	13629	5.47	18.30	4.75
BRF1	5.03	0.92	4.88	2.46	8.41	13629	5.47	18.30	3.42
ZFYVE21	6.37	1.17	6.57	1.49	9.47	13629	5.46	18.30	6.37
NAG8	5.92	1.08	6.07	2.40	9.58	13629	5.46	18.30	3.99
MGC22014	6.15	1.13	6.18	2.43	10.33	13629	5.46	18.30	4.25
DNAJC10	7.01	1.28	7.17	2.17	11.59	13629	5.46	18.30	5.34
SPCS3	6.73	1.23	6.72	1.89	11.49	13629	5.46	18.30	6.09
AR	6.01	1.10	5.87	2.59	11.04	13629	5.46	18.31	4.26
POR	6.95	1.27	7.13	2.09	13.26	13629	5.46	18.31	6.34
SPA17	6.17	1.13	6.24	2.04	11.97	13629	5.46	18.31	5.88
DLC1	6.52	1.19	6.38	2.74	11.48	13629	5.46	18.31	4.18
TCP10	5.08	0.93	5.17	1.96	8.36	13629	5.46	18.31	4.26
FLJ12595	4.94	0.90	5.04	2.23	8.05	13629	5.46	18.32	3.61
NOS2A	5.25	0.96	5.34	1.63	9.95	13629	5.46	18.32	6.10
RWDD3	6.38	1.17	6.53	1.63	9.98	13629	5.46	18.32	6.11
KCNAB3	5.31	0.97	5.47	1.89	8.54	13629	5.46	18.32	4.53
RRAGB	5.23	0.96	5.40	1.32	8.26	13629	5.46	18.33	6.25
MAP2	5.58	1.02	5.61	2.07	10.40	13629	5.46	18.33	5.02
HLA-DQB2	5.88	1.08	5.78	2.04	12.11	13629	5.46	18.33	5.95
LRP1	6.66	1.22	6.69	2.30	11.30	13629	5.46	18.33	4.91
TSPAN15	6.31	1.16	6.35	2.04	10.07	13629	5.45	18.34	4.95
GFPT2	6.49	1.19	6.44	2.37	12.76	13629	5.45	18.34	5.39
TFAP4	6.30	1.15	6.37	2.72	9.65	13629	5.45	18.34	3.54
RIF1	5.50	1.01	5.54	2.07	9.63	13629	5.45	18.35	4.65
ZNF140	6.53	1.20	6.78	1.68	10.59	13629	5.45	18.35	6.31
FLJ11000	6.82	1.25	6.78	2.43	11.57	13629	5.45	18.35	4.75
LAMB4	4.27	0.78	4.35	1.93	8.22	13629	5.45	18.35	4.27
MSN	9.79	1.80	10.20	2.41	13.05	13629	5.45	18.35	5.43
GOLPH3L	7.81	1.43	8.07	2.44	11.53	13629	5.45	18.35	4.73
TGFB2	5.10	0.94	5.07	2.43	10.59	13629	5.45	18.35	4.35
UGT2B15	4.83	0.89	4.71	2.40	11.24	13629	5.45	18.35	4.68
CCNE1	6.65	1.22	6.66	2.35	12.35	13629	5.45	18.35	5.25
HLA-DRB6	6.82	1.25	6.80	2.56	11.83	13629	5.45	18.36	4.62
ZNF447	7.16	1.32	7.35	2.54	10.74	13629	5.45	18.36	4.23
FLJ11273	7.66	1.41	7.88	0.93	11.45	13629	5.45	18.36	12.36
GPATC1	6.09	1.12	6.30	1.83	9.86	13629	5.45	18.36	5.40
FLJ20507	7.38	1.36	7.69	3.00	11.29	13629	5.45	18.36	3.76
IL1A	5.44	1.00	5.39	1.95	12.28	13629	5.45	18.37	6.29
TAF12	6.39	1.17	6.67	2.29	9.72	13629	5.44	18.37	4.24
TBL1XR1	7.41	1.36	7.61	1.20	13.22	13629	5.44	18.37	11.00
TP73L	5.71	1.05	5.58	3.05	11.12	13629	5.44	18.37	3.64
C10orf57	5.65	1.04	5.75	2.04	10.38	13629	5.44	18.37	5.10
POLA2	6.36	1.17	6.40	2.29	10.08	13629	5.44	18.37	4.40
OSBPL7	4.60	0.85	4.69	2.31	7.40	13629	5.44	18.38	3.21
GSR	6.89	1.27	7.03	2.27	11.24	13629	5.44	18.38	4.95
C1orf82	5.64	1.04	5.80	2.05	9.16	13629	5.44	18.38	4.46
TNFAIP3	8.40	1.54	8.26	3.10	13.31	13629	5.44	18.38	4.29
FAM38A	8.27	1.52	8.48	2.20	12.27	13629	5.44	18.38	5.57
HIST1H2AB	5.27	0.97	5.35	2.17	9.33	13629	5.44	18.38	4.30
C6orf96	6.40	1.18	6.55	1.63	11.32	13629	5.44	18.39	6.94
C2orf26	6.66	1.22	6.71	2.08	11.33	13629	5.44	18.39	5.46
UTP14A	6.12	1.13	6.23	2.49	9.85	13629	5.44	18.39	3.96
JAK2	5.85	1.08	5.86	2.31	11.10	13629	5.44	18.40	4.80
SPDEF	6.81	1.25	6.51	3.82	11.69	13629	5.44	18.40	3.06
LTBP1	7.27	1.34	7.24	2.80	12.56	13629	5.44	18.40	4.48
ADAM29	4.35	0.80	4.29	1.32	9.65	13629	5.44	18.40	7.30
BRWD1	5.37	0.99	5.51	2.04	8.18	13629	5.44	18.40	4.02
CCNF	5.91	1.09	5.88	2.54	9.92	13629	5.44	18.40	3.91
C1orf22	6.63	1.22	6.86	2.23	10.89	13629	5.43	18.40	4.88
RBM21	5.72	1.05	5.82	2.25	10.10	13629	5.43	18.40	4.48
SCARA3	6.27	1.15	6.27	2.44	10.41	13629	5.43	18.40	4.27
HSPC121	7.41	1.36	7.50	1.89	11.38	13629	5.43	18.40	6.03
CARD10	5.54	1.02	5.52	2.80	9.44	13629	5.43	18.40	3.38
HAAO	5.80	1.07	5.90	1.63	9.86	13629	5.43	18.41	6.04
ZBTB20	7.81	1.44	7.89	3.26	12.96	13629	5.43	18.41	3.97
SMARCAL1	6.31	1.16	6.61	1.93	11.78	13629	5.43	18.41	6.12
OR2J2	3.70	0.68	3.71	1.85	7.29	13629	5.43	18.41	3.94
NPFF	5.09	0.94	5.06	1.96	8.40	13629	5.43	18.41	4.28
EMID1	6.44	1.19	6.50	2.75	10.92	13629	5.43	18.41	3.97
PIP5K1B	6.37	1.17	6.24	2.58	10.42	13629	5.43	18.41	4.03
LZTFL1	7.02	1.29	7.14	1.54	11.82	13629	5.43	18.42	7.69
CD34	6.92	1.28	6.85	2.17	12.11	13629	5.43	18.42	5.58
DKFZp564K142	7.10	1.31	7.20	1.68	11.43	13629	5.43	18.42	6.81
UBE2M	7.93	1.46	8.18	2.14	12.41	13629	5.43	18.43	5.81
TTTY2	4.83	0.89	4.90	2.24	7.86	13629	5.42	18.44	3.50
CDKN3	7.42	1.37	7.29	2.72	12.56	13629	5.42	18.44	4.62
MDFI	5.65	1.04	5.64	2.17	10.64	13629	5.42	18.44	4.90
DNAJC15	8.51	1.57	8.86	2.04	12.87	13629	5.42	18.45	6.32
FLJ11795	5.39	0.99	5.37	1.54	12.16	13629	5.42	18.45	7.92
ETS2	7.53	1.39	7.36	2.82	12.03	13629	5.42	18.45	4.27
CD58	6.60	1.22	6.64	2.87	11.48	13629	5.42	18.45	4.00
AP1G2	6.35	1.17	6.52	2.49	10.57	13629	5.42	18.45	4.25
OAZ3	4.71	0.87	4.68	2.30	11.52	13629	5.42	18.45	5.00
PPAP2A	8.02	1.48	8.08	2.79	13.10	13629	5.42	18.45	4.70
LTBR	7.20	1.33	7.42	2.74	11.14	13629	5.42	18.45	4.06
RPGR	5.82	1.07	5.92	1.20	10.43	13629	5.42	18.45	8.68
CDY1	4.47	0.82	4.50	1.93	7.31	13629	5.42	18.45	3.80
MON1B	6.01	1.11	6.20	1.54	10.90	13629	5.42	18.46	7.10
GSTA1	6.41	1.18	6.23	3.56	12.57	13629	5.42	18.46	3.53
GABARAPL1	7.79	1.44	7.66	2.78	13.31	13629	5.42	18.46	4.79
NR1D2	7.08	1.31	7.16	2.35	11.04	13629	5.42	18.46	4.70
KCNQ4	5.03	0.93	5.05	2.21	8.64	13629	5.41	18.47	3.91
FLJ41278	5.40	1.00	5.50	2.20	8.72	13629	5.41	18.47	3.96
RAB40B	6.48	1.20	6.48	2.32	10.90	13629	5.41	18.47	4.70
OR52A1	5.26	0.97	5.35	1.77	8.78	13629	5.41	18.47	4.97
TBC1D3	7.21	1.33	7.28	1.58	12.23	13629	5.41	18.47	7.71
HIVEP1	6.47	1.20	6.67	1.96	10.09	13629	5.41	18.47	5.14
KLRD1	5.48	1.01	5.42	2.70	11.63	13629	5.41	18.47	4.31
ALDH7A1	6.73	1.24	6.96	2.52	10.63	13629	5.41	18.48	4.22
HERC5	7.04	1.30	7.02	1.77	12.94	13629	5.41	18.48	7.33
GOT1	8.00	1.48	7.97	2.40	12.91	13629	5.41	18.48	5.37
C7orf16	5.48	1.01	5.55	2.25	12.24	13629	5.41	18.48	5.45
RNF39	6.39	1.18	6.57	2.23	10.71	13629	5.41	18.48	4.80
EMID2	4.90	0.91	4.93	1.54	9.00	13629	5.41	18.48	5.86
ETS1	5.81	1.07	5.89	1.49	10.28	13629	5.41	18.48	6.92
DST	7.04	1.30	7.03	4.05	11.04	13629	5.41	18.48	2.72
IRS3L	5.27	0.97	5.41	1.49	9.20	13629	5.41	18.49	6.20
PRKCH	7.23	1.34	7.24	2.61	11.70	13629	5.41	18.49	4.48
